"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              01/05/2022 00:00 - 01/05/2022 01:00,"BZN|DE-LU","PT60M",206.00,"EUR"
              01/05/2022 01:00 - 01/05/2022 02:00,"BZN|DE-LU","PT60M",199.70,"EUR"
              01/05/2022 02:00 - 01/05/2022 03:00,"BZN|DE-LU","PT60M",197.56,"EUR"
              01/05/2022 03:00 - 01/05/2022 04:00,"BZN|DE-LU","PT60M",192.20,"EUR"
              01/05/2022 04:00 - 01/05/2022 05:00,"BZN|DE-LU","PT60M",197.43,"EUR"
              01/05/2022 05:00 - 01/05/2022 06:00,"BZN|DE-LU","PT60M",201.32,"EUR"
              01/05/2022 06:00 - 01/05/2022 07:00,"BZN|DE-LU","PT60M",195.00,"EUR"
              01/05/2022 07:00 - 01/05/2022 08:00,"BZN|DE-LU","PT60M",194.95,"EUR"
              01/05/2022 08:00 - 01/05/2022 09:00,"BZN|DE-LU","PT60M",186.94,"EUR"
              01/05/2022 09:00 - 01/05/2022 10:00,"BZN|DE-LU","PT60M",182.04,"EUR"
              01/05/2022 10:00 - 01/05/2022 11:00,"BZN|DE-LU","PT60M",177.31,"EUR"
              01/05/2022 11:00 - 01/05/2022 12:00,"BZN|DE-LU","PT60M",176.50,"EUR"
              01/05/2022 12:00 - 01/05/2022 13:00,"BZN|DE-LU","PT60M",174.92,"EUR"
              01/05/2022 13:00 - 01/05/2022 14:00,"BZN|DE-LU","PT60M",150.74,"EUR"
              01/05/2022 14:00 - 01/05/2022 15:00,"BZN|DE-LU","PT60M",140.40,"EUR"
              01/05/2022 15:00 - 01/05/2022 16:00,"BZN|DE-LU","PT60M",138.90,"EUR"
              01/05/2022 16:00 - 01/05/2022 17:00,"BZN|DE-LU","PT60M",155.90,"EUR"
              01/05/2022 17:00 - 01/05/2022 18:00,"BZN|DE-LU","PT60M",187.04,"EUR"
              01/05/2022 18:00 - 01/05/2022 19:00,"BZN|DE-LU","PT60M",215.85,"EUR"
              01/05/2022 19:00 - 01/05/2022 20:00,"BZN|DE-LU","PT60M",249.43,"EUR"
              01/05/2022 20:00 - 01/05/2022 21:00,"BZN|DE-LU","PT60M",254.94,"EUR"
              01/05/2022 21:00 - 01/05/2022 22:00,"BZN|DE-LU","PT60M",243.03,"EUR"
              01/05/2022 22:00 - 01/05/2022 23:00,"BZN|DE-LU","PT60M",239.72,"EUR"
              01/05/2022 23:00 - 02/05/2022 00:00,"BZN|DE-LU","PT60M",215.97,"EUR"
              02/05/2022 00:00 - 02/05/2022 01:00,"BZN|DE-LU","PT60M",206.46,"EUR"
              02/05/2022 01:00 - 02/05/2022 02:00,"BZN|DE-LU","PT60M",199.87,"EUR"
              02/05/2022 02:00 - 02/05/2022 03:00,"BZN|DE-LU","PT60M",194.69,"EUR"
              02/05/2022 03:00 - 02/05/2022 04:00,"BZN|DE-LU","PT60M",193.76,"EUR"
              02/05/2022 04:00 - 02/05/2022 05:00,"BZN|DE-LU","PT60M",196.34,"EUR"
              02/05/2022 05:00 - 02/05/2022 06:00,"BZN|DE-LU","PT60M",209.96,"EUR"
              02/05/2022 06:00 - 02/05/2022 07:00,"BZN|DE-LU","PT60M",248.88,"EUR"
              02/05/2022 07:00 - 02/05/2022 08:00,"BZN|DE-LU","PT60M",270.00,"EUR"
              02/05/2022 08:00 - 02/05/2022 09:00,"BZN|DE-LU","PT60M",264.57,"EUR"
              02/05/2022 09:00 - 02/05/2022 10:00,"BZN|DE-LU","PT60M",238.98,"EUR"
              02/05/2022 10:00 - 02/05/2022 11:00,"BZN|DE-LU","PT60M",194.27,"EUR"
              02/05/2022 11:00 - 02/05/2022 12:00,"BZN|DE-LU","PT60M",189.97,"EUR"
              02/05/2022 12:00 - 02/05/2022 13:00,"BZN|DE-LU","PT60M",190.68,"EUR"
              02/05/2022 13:00 - 02/05/2022 14:00,"BZN|DE-LU","PT60M",190.45,"EUR"
              02/05/2022 14:00 - 02/05/2022 15:00,"BZN|DE-LU","PT60M",187.65,"EUR"
              02/05/2022 15:00 - 02/05/2022 16:00,"BZN|DE-LU","PT60M",185.05,"EUR"
              02/05/2022 16:00 - 02/05/2022 17:00,"BZN|DE-LU","PT60M",188.20,"EUR"
              02/05/2022 17:00 - 02/05/2022 18:00,"BZN|DE-LU","PT60M",218.72,"EUR"
              02/05/2022 18:00 - 02/05/2022 19:00,"BZN|DE-LU","PT60M",244.11,"EUR"
              02/05/2022 19:00 - 02/05/2022 20:00,"BZN|DE-LU","PT60M",263.97,"EUR"
              02/05/2022 20:00 - 02/05/2022 21:00,"BZN|DE-LU","PT60M",265.41,"EUR"
              02/05/2022 21:00 - 02/05/2022 22:00,"BZN|DE-LU","PT60M",253.52,"EUR"
              02/05/2022 22:00 - 02/05/2022 23:00,"BZN|DE-LU","PT60M",241.11,"EUR"
              02/05/2022 23:00 - 03/05/2022 00:00,"BZN|DE-LU","PT60M",219.92,"EUR"
