Time,EDM: Balance
1656626400000,-15299.895833333334
1656630000000,-14380.541666666666
1656633600000,-15218.604166666666
1656637200000,-15701.041666666666
1656640800000,-14564.479166666666
1656644400000,-15258.791666666666
1656648000000,-15652.229166666666
1656651600000,-18506.416666666668
1656655200000,-18414.25
1656658800000,-16702.719665271965
1656662400000,-19301.875
1656666000000,-4637.1875
1656669600000,747.1458333333334
1656673200000,8700.125
1656676800000,1552.3125
1656680400000,1788.1041666666667
1656684000000,1220.375
1656687600000,390.0416666666667
1656691200000,59.0625
1656694800000,-624.1666666666666
1656698400000,-1550.1041666666667
1656702000000,-12884.395833333334
1656705600000,-14870.1875
1656709200000,-13879.5625
1656712800000,-13373.104166666666
1656716400000,-14609.916666666666
1656720000000,-14875.916666666666
1656723600000,-13988.291666666666
1656727200000,-13752.083333333334
1656730800000,-15103.0625
1656734400000,-12787.5
1656738000000,-4638.5
1656741600000,-417.0208333333333
1656745200000,2573.9166666666665
1656748800000,7802.854166666667
1656752400000,22145.145833333332
1656756000000,30773.104166666668
1656759600000,31154.604166666668
1656763200000,29434.75
1656766800000,26739.97907949791
1656770400000,20671.645833333332
1656774000000,11706.5
1656777600000,4296.0625
1656781200000,-75.89583333333333
1656784800000,-1080.3541666666667
1656788400000,-3183.9166666666665
1656792000000,-10062.916666666666
1656795600000,-13444.4375
1656799200000,-14698.666666666666
1656802800000,-14932.458333333334
1656806400000,-14514.75
1656810000000,-14387.520833333334
1656813600000,-14571.458333333334
1656817200000,-15498.395833333334
1656820800000,-12948.541666666666
1656824400000,-5869.333333333333
1656828000000,-875.1666666666666
1656831600000,1510.8125
1656835200000,6950.708333333333
1656838800000,18666.604166666668
1656842400000,28660.625
1656846000000,28957.958333333332
1656849600000,28853.75
1656853200000,25305.458333333332
1656856800000,14028.895833333334
1656860400000,8714.0625
1656864000000,5292.229166666667
1656867600000,-106.89583333333333
1656871200000,-1344.1666666666667
1656874800000,-4199.020833333333
1656878400000,-11150.270833333334
1656882000000,-15668.916666666666
1656885600000,-15847.916666666666
1656889200000,-14904.958333333334
1656892800000,-14503.958333333334
1656896400000,-15664.6875
1656900000000,-15452.916666666666
1656903600000,-14202.5
1656907200000,-13121
1656910800000,-10355.6875
1656914400000,-7024.458333333333
1656918000000,-4.5625
1656921600000,1143.375
1656925200000,3364.1458333333335
1656928800000,7434.645833333333
1656932400000,8840.479166666666
1656936000000,10049.708333333334
1656939600000,8566.770833333334
1656943200000,6457.958333333333
1656946800000,3065.020920502092
1656950400000,517.25
1656954000000,-717.2083333333334
1656957600000,-4698.854166666667
1656961200000,-10401.083333333334
1656964800000,-13481.208333333334
1656968400000,-15629.520833333334
1656972000000,-16207.958333333334
1656975600000,-14851.3125
1656979200000,-14756.729166666666
1656982800000,-16058.791666666666
1656986400000,-15855.708333333334
1656990000000,-15024.395833333334
1656993600000,-13818.958333333334
1656997200000,-9747.104166666666
1657000800000,-4545.645833333333
1657004400000,261.9375
1657008000000,964.8958333333334
1657011600000,2668.1875
1657015200000,10441.4375
1657018800000,16893.75
1657022400000,18090
1657026000000,12255.770833333334
1657029600000,7950.083333333333
1657033200000,4105.75
1657036800000,-2106.8125
1657040400000,-931.2916666666666
1657044000000,-6875.916666666667
1657047600000,-13104.4375
1657051200000,-15544.8125
1657054800000,-16426.645833333332
1657058400000,-15759.75
1657062000000,-14938.958333333334
1657065600000,-14939.291666666666
1657069200000,-16041.229166666666
1657072800000,-16479.479166666668
1657076400000,-15458.041666666666
1657080000000,-14124.270833333334
1657083600000,-9740.770833333334
1657087200000,-4431.083333333333
1657090800000,-121.00418410041841
1657094400000,792.2916666666666
1657098000000,4447.4375
1657101600000,8503.744769874476
1657105200000,12601.833333333334
1657108800000,19221.291666666668
1657112400000,13393.958333333334
1657116000000,5151.041666666667
1657119600000,-484.4166666666667
1657123200000,-416.1666666666667
1657126800000,-2686.8125
1657130400000,-7106.6875
1657134000000,-12894.270833333334
1657137600000,-14481
1657141200000,-14474.916666666666
1657144800000,-15411.541666666666
1657148400000,-15000.458333333334
1657152000000,-14452.770833333334
1657155600000,-14594.354166666666
1657159200000,-14544.3125
1657162800000,-14977.479166666666
1657166400000,-14650.8125
1657170000000,-11006.75
1657173600000,-14186.854166666666
1657177200000,-18573.5
1657180800000,-11297.208333333334
1657184400000,-2535.2916666666665
1657188000000,-13676.208333333334
1657191600000,-14496.979166666666
1657195200000,-6107.0625
1657198800000,-11385.708333333334
1657202400000,-6884.25
1657206000000,-3344.0833333333335
1657209600000,-12690.458333333334
1657213200000,-14124.6875
1657216800000,-15351.1875
1657220400000,-16613.145833333332
1657224000000,-14867.645833333334
1657227600000,-15076.729166666666
1657231200000,-16116.770833333334
1657234800000,-15191.979166666666
1657238400000,-14239.375
1657242000000,-14828.541666666666
1657245600000,-13559.104166666666
1657249200000,-14105.416666666666
1657252800000,-13713.8125
1657256400000,-8727.520833333334
1657260000000,-2012.3125
1657263600000,1484.2708333333333
1657267200000,2601.1458333333335
1657270800000,7489.2468619246865
1657274400000,12013.604166666666
1657278000000,19548.583333333332
1657281600000,21289.375
1657285200000,18739.604166666668
1657288800000,13141.645833333334
1657292400000,5922.895833333333
1657296000000,912.0625
1657299600000,-218.58333333333334
1657303200000,-2125.6041666666665
1657306800000,-8206.833333333334
1657310400000,-13691.395833333334
1657314000000,-14100.729166666666
1657317600000,-13700.979166666666
1657321200000,-14148.354166666666
1657324800000,-13492.020833333334
1657328400000,-13493.541666666666
1657332000000,-13315.208333333334
1657335600000,-13478.291666666666
1657339200000,-11142.1875
1657342800000,-5322.3125
1657346400000,-1716.3958333333333
1657350000000,1340.9583333333333
1657353600000,5374.583333333333
1657357200000,18086.104166666668
1657360800000,26013.458333333332
1657364400000,20888.104166666668
1657368000000,19046.9375
1657371600000,14439.729166666666
1657375200000,7514.979166666667
1657378800000,9021.916666666666
1657382400000,1333.7916666666667
1657386000000,70.875
1657389600000,-1362.4583333333333
1657393200000,-6415.166666666667
1657396800000,-12263.208333333334
